"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C5,C6,C9,C10,C11,C13","9","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4","1","10n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7,C8","2","22p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C12","1","4µ7","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"J1","1","ISP","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"R1","1","10K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2","1","330","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","SW_MEC_5G","","","","Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG","~"
"U1","1","FM25V05-G","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.cypress.com/file/41651/download"
"U2","1","TPS73633DBV","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps736.pdf"
"U3","1","TXU0304RUT","","","","Package_DFN_QFN:Texas_R-PUQFN-N12","TXU0304PWR"
"U4","1","ATmega1281-16A","","","","Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.65x7.65mm_ThermalVias","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-2549-8-bit-AVR-Microcontroller-ATmega640-1280-1281-2560-2561_datasheet.pdf"
"U5","1","Z80-Socket","","Exclure de la Liste du Matériel","","Z80P600:Z80_DIP-40_SMDSocket","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080"
"Y1","1","16MHz","","","","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","~"
